"","per_gene_cor","method"
"1",0.315566074811823,"ghist"
"2",-0.00535290605192266,"ghist"
"3",0,"ghist"
"4",0.660610729678654,"ghist"
"5",0,"ghist"
"6",0.584697821223631,"ghist"
"7",0.328487136123585,"ghist"
"8",-0.00557212334996293,"ghist"
"9",0.311897678954348,"ghist"
"10",-0.0180234710175599,"ghist"
"11",0.669013759994165,"ghist"
"12",0.617246681840988,"ghist"
"13",0.381101520076528,"ghist"
"14",0.197636374832352,"ghist"
"15",0.65432814256212,"ghist"
"16",0.627203885046902,"ghist"
"17",0.163919220382358,"ghist"
"18",-0.0017586404044497,"ghist"
"19",0.0877236784762667,"ghist"
"20",0,"ghist"
"21",0.587623093054601,"istar"
"22",0.527098197698952,"istar"
"23",0.544195291697009,"istar"
"24",0.67213834836273,"istar"
"25",0.563220109394488,"istar"
"26",0.630706201537729,"istar"
"27",0.596170767043925,"istar"
"28",0.556000033833669,"istar"
"29",0.656053017277497,"istar"
"30",0.560806006852321,"istar"
"31",0.686157441159648,"istar"
"32",0.676715405062304,"istar"
"33",0.617769596849281,"istar"
"34",0.560923671226143,"istar"
"35",0.714420714647619,"istar"
"36",0.680151491354411,"istar"
"37",0.530243779699152,"istar"
"38",0.486798336426214,"istar"
"39",0.510851525593679,"istar"
"40",0.623635270535581,"istar"
